id,carat,cut,color,clarity,depth,table,x,y,z,price
0,1.5,Premium,F,VS2,61.5,58.0,7.32,7.34,4.51,9.588
1,2.01,Very Good,E,SI2,60.6,59.0,8.11,8.25,4.96,9.748
2,0.5,Ideal,E,SI1,61.6,57.0,5.13,5.09,3.15,7.255
3,0.25,Very Good,F,VVS2,61.6,57.0,4.05,4.08,2.5,6.45
4,0.52,Ideal,G,VS2,62.0,55.0,5.16,5.19,3.21,7.721
5,0.44,Good,D,VS2,60.6,64.0,4.97,4.89,2.99,7.121
6,0.52,Good,E,VS2,58.3,61.0,5.26,5.31,3.08,7.422
7,1.11,Premium,E,VS2,62.2,58.0,6.61,6.64,4.12,8.938
8,0.34,Very Good,E,VS2,62.7,56.0,4.48,4.51,2.82,6.545
9,0.29,Very Good,E,VS1,61.7,58.0,4.23,4.29,2.63,6.223
10,0.3,Premium,F,VS1,61.0,60.0,4.3,4.22,2.6,6.564
11,1.21,Premium,F,VS1,62.5,60.0,6.77,6.7,4.21,9.091
12,1.04,Ideal,F,SI2,62.6,57.0,6.45,6.48,4.05,8.422
13,1.2,Premium,J,SI1,61.5,59.0,6.84,6.81,4.2,8.446
14,0.39,Premium,G,VS2,61.2,60.0,4.73,4.68,2.88,6.917
15,1.5,Premium,I,VS1,60.8,61.0,7.39,7.35,4.48,9.186
16,0.32,Premium,I,SI1,62.7,58.0,4.37,4.34,2.73,6.317
17,0.53,Good,D,VS2,58.4,58.0,5.31,5.38,3.12,7.393
18,0.51,Very Good,E,VS1,62.8,57.1,5.07,5.1,3.2,7.586
19,1.07,Premium,G,SI2,62.0,59.0,6.54,6.5,4.04,8.417
20,0.72,Premium,D,SI1,61.4,59.0,5.79,5.71,3.53,7.973
21,0.8,Premium,D,SI1,61.7,58.0,5.96,5.93,3.67,8.105
22,0.23,Very Good,E,VVS2,60.2,57.0,3.99,4.05,2.42,6.142
23,0.73,Ideal,D,VS2,61.6,56.0,5.76,5.8,3.56,8.327
24,1.76,Premium,D,SI2,59.6,58.0,7.9,7.86,4.7,9.537
25,1.01,Very Good,G,VS1,62.8,58.0,6.34,6.37,3.99,8.725
26,1.01,Fair,G,VS2,65.1,56.0,6.2,6.15,4.02,8.691
27,1.04,Premium,I,SI1,61.8,60.0,6.51,6.47,4.01,8.382
28,0.51,Premium,D,VVS2,62.4,59.0,5.13,5.06,3.18,7.778
29,0.31,Good,E,SI1,63.3,55.0,4.31,4.35,2.74,6.299
30,0.66,Very Good,E,VVS1,61.8,55.0,5.6,5.66,3.48,8.104
31,0.53,Ideal,H,VS1,61.2,56.0,5.26,5.21,3.2,7.382
32,1.12,Very Good,E,SI1,58.8,61.0,6.74,6.8,3.98,8.603
33,0.92,Premium,E,SI1,61.3,58.0,6.19,6.25,3.81,8.385
34,0.3,Ideal,F,SI1,61.9,56.0,4.3,4.32,2.67,6.163
35,0.3,Ideal,E,VS2,62.6,56.0,4.33,4.29,2.7,6.738
36,1.03,Very Good,E,VS2,61.3,61.0,6.46,6.53,3.98,8.666
37,2.01,Premium,J,SI1,60.7,61.0,8.15,8.1,4.93,9.41
38,1.3,Premium,H,SI1,62.9,60.0,6.95,6.88,4.35,8.643
39,0.51,Ideal,F,VVS2,62.2,57.0,5.12,5.17,3.2,7.642
40,1.15,Ideal,H,VS1,62.7,57.0,6.68,6.64,4.17,8.871
41,0.31,Ideal,E,VS2,62.4,53.0,4.33,4.36,2.71,6.465
42,0.7,Fair,G,SI1,65.0,59.0,5.57,5.5,3.6,7.592
43,1.05,Premium,G,VS2,62.8,58.0,6.48,6.44,4.06,8.729
44,0.82,Very Good,H,SI1,63.6,56.0,5.9,5.95,3.77,7.975
45,1.09,Ideal,H,SI1,61.1,57.0,6.6,6.69,4.1,8.542
46,0.3,Ideal,D,VS2,61.8,55.0,4.35,4.32,2.68,6.657
47,2.01,Premium,H,SI2,62.3,58.0,8.06,8.11,5.04,9.666
48,1.16,Premium,G,SI2,62.6,58.0,6.72,6.66,4.19,8.511
49,1.0,Very Good,G,VS1,59.4,59.0,6.52,6.54,3.88,8.834
50,1.12,Premium,D,SI2,58.2,60.0,6.9,6.81,3.99,8.538
51,0.35,Ideal,D,VS2,61.8,55.0,4.56,4.53,2.81,6.969
52,0.31,Ideal,F,IF,62.3,54.0,4.33,4.34,2.7,6.825
53,0.8,Good,E,SI2,61.4,59.0,5.94,6.01,3.67,7.841
54,0.52,Very Good,G,VS2,62.6,58.0,5.08,5.11,3.19,7.261
55,1.52,Good,H,SI1,63.6,57.0,7.3,7.25,4.63,9.218
56,0.33,Ideal,H,VVS1,62.5,56.0,4.42,4.44,2.77,6.554
57,0.36,Very Good,E,SI1,61.3,56.0,4.58,4.62,2.82,6.447
58,0.56,Ideal,D,VS1,61.7,56.0,5.3,5.33,3.28,7.562
59,1.01,Ideal,E,VVS1,62.0,57.0,6.45,6.39,3.98,9.32
60,1.07,Premium,G,SI2,62.0,59.0,6.54,6.5,4.04,8.39
61,0.31,Ideal,H,VS2,63.0,57.0,4.34,4.32,2.73,6.443
62,0.35,Premium,E,SI1,60.7,59.0,4.57,4.52,2.76,6.669
63,1.25,Premium,I,VS2,62.2,57.0,6.92,6.84,4.28,8.687
64,0.41,Ideal,E,VS1,62.3,57.0,4.77,4.74,2.96,7.05
65,1.17,Good,J,SI1,63.9,55.0,6.66,6.73,4.28,8.307
66,2.25,Fair,H,I1,67.7,58.0,8.01,7.97,5.41,8.803
67,1.53,Premium,F,SI2,62.7,60.0,7.28,7.34,4.58,9.151
68,0.4,Ideal,H,VVS2,61.4,55.7,4.72,4.77,2.92,6.808
69,0.77,Ideal,E,SI2,60.7,55.0,6.01,5.95,3.63,7.949
70,1.16,Premium,H,SI2,58.8,61.0,6.93,6.84,4.05,8.333
71,0.77,Ideal,F,VS1,62.1,57.0,5.88,5.84,3.64,8.128
72,0.53,Ideal,D,SI2,61.4,56.0,5.22,5.24,3.21,7.181
73,2.19,Premium,J,SI2,58.8,58.0,8.57,8.53,5.03,9.228
74,0.42,Ideal,E,VS2,62.1,56.0,4.77,4.8,2.97,6.865
75,0.53,Premium,F,VS2,60.6,58.0,5.26,5.2,3.17,7.736
76,0.31,Ideal,G,VVS2,62.5,53.0,4.37,4.4,2.74,6.518
77,0.7,Premium,E,SI2,62.1,59.0,5.65,5.63,3.5,7.729
78,2.04,Very Good,I,VS2,62.5,58.0,8.09,8.22,5.1,9.734
79,0.9,Good,G,VVS2,63.6,58.0,6.11,6.1,3.88,8.5
80,0.7,Fair,G,I1,68.3,56.0,5.52,5.4,3.73,6.886
81,1.05,Premium,F,VS2,62.6,58.0,6.5,6.47,4.06,8.875
82,2.0,Premium,D,SI2,60.8,60.0,8.15,8.1,4.94,9.71
83,1.25,Premium,J,SI1,61.8,55.0,6.91,6.82,4.24,8.632
84,1.02,Ideal,F,SI2,62.4,57.0,6.43,6.4,4.0,8.389
85,0.77,Premium,J,VS2,62.1,62.0,5.87,5.82,3.63,7.57
86,0.41,Ideal,E,VVS1,60.7,57.0,4.8,4.85,2.93,7.22
87,1.02,Premium,H,SI2,59.8,59.0,6.54,6.5,3.9,8.363
88,1.62,Ideal,I,VS2,62.1,55.0,7.53,7.58,4.69,9.259
89,0.9,Very Good,H,SI1,62.8,57.0,6.14,6.18,3.87,8.142
90,0.3,Premium,I,IF,60.5,59.0,4.34,4.32,2.62,6.697
91,1.2,Premium,D,SI2,62.0,58.0,6.84,6.77,4.22,8.622
92,1.25,Ideal,E,VVS2,60.9,60.0,6.93,6.97,4.23,9.473
93,0.42,Very Good,E,VVS2,59.4,60.0,4.88,4.91,2.91,7.14
94,1.33,Premium,G,SI2,60.3,58.0,7.16,7.19,4.33,8.79
95,1.14,Ideal,E,SI2,62.6,56.0,6.69,6.63,4.17,8.518
96,0.33,Ideal,E,VS1,61.6,56.0,4.46,4.43,2.74,6.91
